prj_id,prj_title,prj_code,prj_year_approved,prj_type,prj_status_name,province,city_name,sector,prj_cost_setup,prj_cost_gia,prj_cost_rollout,prj_cost_benefactor,prj_cost_other,num_coop,more_coop
46,Upgrading  of Oyster Mushroom Production Through Adoption of Steam Boiler Technology,14-4A-03-04-0014,2014,SETUP,On-going,Batangas,Nasugbu,Agriculture / Marine / Aquaculture / Forestry / Livestock,988000,0,0,0,0,1,only one
48,Upgrading of the Production Capability of Joshua&#039;s Bread House Through Equipment Acquisition,14-4A-03-01-0028,2014,SETUP,Graduated,Batangas,San Pascual,Food Processing,1150000,0,0,0,0,1,only one
49,Proper farm waste disposal and source of renewable energy for Mario Rena Piggery through Biogas System Facility,14-4A-03-04-0029,2014,SETUP,Graduated,Batangas,Rosario,Agriculture / Marine / Aquaculture / Forestry / Livestock,1187255,0,0,123000,0,1,only one
50,Upgrading of production facility of MAB Poultry Farm through Equipment Acquisition,14-4A-03-04-0030,2015,SETUP,Graduated,Batangas,Padre Garcia,Agriculture / Marine / Aquaculture / Forestry / Livestock,1310000,0,0,500000,0,1,only one
51,Upgrading of prodction facility of ABCEDE Lucban Longganisa and Meat Products,14-4A-05-01-0033,2014,SETUP,Terminated,Quezon,Lucban,Food Processing,2000000,0,0,0,0,1,only one
52,Upgrading of food production facility of Ann&#039;s House of Macaroons,14-4A-03-01-0031,2014,SETUP,Withdrawn,Batangas,Batangas City,Food Processing,361536,0,0,0,0,1,only one
53,Upgrading of Soap Production facility of DA TWINS MARKETING through Equipment Acquisition,14-4A-03-03-0032,2014,SETUP,Graduated,Batangas,Lipa City,Health & Wellness Products,1355400,0,0,0,0,1,only one
54,Enhancement of the Product Quality of Gen. Trias Dairy Raisers through Product Quality Analysis,14-4A-01-01-0034,2014,SETUP,On-going,Cavite,General Trias,Food Processing,150610,0,0,0,0,1,only one
55,Production Improvement and Equipment Upgrading for Villadiego&#039;s Bakery and Pasalubong,14-4A-05-01-0035,2014,SETUP,Terminated,Quezon,Sariaya,Food Processing,1940000,0,0,500000,0,1,only one
56,"Automation of Siomai Production of Jam Food Products in Cainta, Rizal through Equipment Acquisition",14-4A-04-01-0037,2014,SETUP,Graduated,Rizal,Cainta,Food Processing,2800000,0,0,100000,0,1,only one
57,Pickles and Peanut Butter Production Improvement through Equipment Upgrading of Theo-Filo&#039;s Food Products,14-4A-05-01-0038,2014,SETUP,Terminated,Quezon,Tiaong,Food Processing,633000,0,0,600000,0,1,only one
58,Productivity and Quality Improvement of Angono Ethnic Products,14-4A-04-01-0038,2014,SETUP,Terminated,Rizal,Angono,Food Processing,587000,0,0,200000,0,1,only one
59,"Optimization of Current production and storage Capacity of Tindahan ng Itlog ni Kuya, Atbp.",13-2022-04-04-1,2013,SETUP,Graduated,Laguna,Victoria,Food Processing,1699577,0,0,0,0,1,only one
60,Productivity Improvement of Products of Aling Nene&#039;s Buko Pie and Puto Binan Delicacies,13-1889-8-04-01-1,2013,SETUP,Terminated,Laguna,City of Biñan,Food Processing,423000,0,0,0,0,1,only one
61,Upgrading Of The Native Rice Cake (Bibingka) Production Facility Through Equipment/Production Accessory Tools Acquisition In Compliance To Food Safety Requirements,13-1889-9-04-01-1,2013,SETUP,Terminated,Batangas,Lipa City,Food Processing,689154,0,0,0,0,1,only one
62,Equipment Upgrading for the Production of Tita&#039;s Banana Chips,13-2023-04-01-1,2013,SETUP,Graduated,Quezon,Gumaca,Food Processing,1781600,0,0,125000,0,1,only one
63,"Tjcen Food International, Inc. Acquisition Of New Equipment For The Production Of Processed Sweet Pickled Cucumber In Pililla, Rizal",13-1889-10-04-01-1,2013,SETUP,Graduated,Rizal,Pililla,Food Processing,994020,0,0,0,0,1,only one
64,Upgrading of TBN Food Production Facility through Equipment Acquisition,13-2042-04-01-1,2013,SETUP,Graduated,Batangas,Santo Tomas,Food Processing,2000000,0,0,0,0,1,only one
65,Provision Of Biogas System Facility For Utilization Into Renewable Energy And Proper Farm Waste Disposal,13-1889-11-04-04-1,2013,SETUP,Graduated,Batangas,Mataasnakahoy,Agriculture / Marine / Aquaculture / Forestry / Livestock,537641,0,0,0,0,1,only one
66,Packaging Development and Equipment Upgrading for Candelaria Coco Food Products,13-1889-12-04-01-1,2013,SETUP,Terminated,Quezon,Candelaria,Food Processing,482000,0,0,0,0,1,only one
67,Upgrading of the Production Facility of Sabuhin Bakery through Equipment Acquisition,13-1889-21-04-01-1,2013,SETUP,Graduated,Batangas,Rosario,Food Processing,858000,0,0,0,0,1,only one
68,Enhancing Measurement Capability of Cervera Technoservices and Industrial Supply,13-2056-04-06-1,2013,SETUP,Terminated,Laguna,Calamba,Metals & Engineering,2000000,0,0,0,0,1,only one
70,Productivity Improvement and Mechninization of vermicomposting and Vermiculture of J.A. Honrado GrassLands Farm,13-2059-04-04-1,2013,SETUP,Terminated,Laguna,Los Baños,Agriculture / Marine / Aquaculture / Forestry / Livestock,1222000,0,0,0,0,1,only one
71,Improvement of Production Efficiency and Quality of Broas,13-1889-20-04-01-1,2013,SETUP,Graduated,Quezon,Lucban,Food Processing,456995,0,0,70000,0,1,only one
72,"Productivity and Quality Improvement through New Equipment of Home Expressions Concepts, Inc in Cainta, Rizal",13-2066-04-03-1,2013,SETUP,Terminated,Rizal,Angono,Gifts / Decors / Handicrafts,1890000,0,0,0,0,1,only one
73,Production and Quality Improvement of virgin Coconut Oil and Utilization of its by-products,13-1889-13-04-01-1,2013,SETUP,Graduated,Quezon,Tayabas City,Food Processing,1211980,0,0,571000,0,1,only one
74,Mechanization of Production Process of Ube Halaya,13-1889-17-04-01-1,2013,SETUP,Graduated,Laguna,San Pablo,Food Processing,322560,0,0,0,0,1,only one
75,Upgrading of the Metal Fabrication Facility of Macky Industrial and General Services through Provision of Equipment,13-2069-04-06-1,2013,SETUP,Graduated,Batangas,Lipa City,Metals & Engineering,1688000,0,0,0,0,1,only one
76,"Upgrading of the Feed Mill Facility and Innovation on Poultry Farming of Qualimeal Feedmills, Inc.",13-2072-04-04-1,2013,SETUP,Graduated,Batangas,Lipa City,Agriculture / Marine / Aquaculture / Forestry / Livestock,1714000,0,0,0,0,1,only one
77,Enhancement of the Production Capability and Capacity of Micriz Delicacies and Food Products through the Acquisition of Food Processing Equipment,13-1889-14-04-01-1,2013,SETUP,Terminated,Cavite,Indang,Food Processing,131920,0,0,0,0,1,only one
78,Enhancement of Production Capability and Capacity of Janlen International E-port Inc. through the Acquisition of Powder Coating Recovery System and Plasma Cutting Machine,13-1889-15-04-06-1,2013,SETUP,Graduated,Cavite,Trece Martires,Furniture,829000,0,0,0,0,1,only one
79,"Productivity Improvement of Coconut Milk Extraction of Natural quantum Diversified Products, Inc",13-1889-18-04-01-1,2013,SETUP,Graduated,Laguna,San Pablo,Food Processing,934600,0,0,0,0,1,only one
80,Process Improvement through Acquisition of Baking Equipment and Development of Label Design and Packaging,13-1889-22-04-01-1,2013,SETUP,Completed,Quezon,Unisan,Food Processing,123000,0,0,0,0,1,only one
81,Improvement of Quality and Production of Bread of Pecto&#039;s Bakery,13-1889-19-04-01-1,2013,SETUP,Graduated,Quezon,Lucban,Food Processing,551865,0,0,509865,0,1,only one
82,Technology Enhancement of Dolly&#039;s Banana Chips through the Acquisition of Equipment and Improvement of the Product Packaging,13-1889-24-04-01-1,2013,SETUP,Graduated,Cavite,Bacoor,Food Processing,762800,0,0,0,0,1,only one
83,Improvement / Upgrading of Drying System Facility of the 3 N&#039;s Art Designs,13-1889-25-04-03-1,2013,SETUP,Terminated,Laguna,Alaminos,Gifts / Decors / Handicrafts,470000,0,0,0,0,1,only one
84,Upgrading of production facilites of YMJS BAKERY,13-1889-23-04-01-1,2013,SETUP,Terminated,Quezon,Catanauan,Food Processing,668000,0,0,0,0,1,only one
85,Upgrading Of Processing Plant For Mallari Distillery Through Acquisition Of Distillation Set Up,13-1889-26-04-01-1,2013,SETUP,Completed,Quezon,Tayabas City,Food Processing,425000,0,0,0,0,1,only one
86,"Productivity Improvement and Capacity Upgrading of Industrial Design &amp; Equipment Expertise (Index), Inc.",13-2086-04-06-1,2013,SETUP,Graduated,Laguna,San Pablo,Metals & Engineering,2000000,0,0,0,0,1,only one
87,Mechanization of VCO Processing System for Cocoplus Aquarian Development Corp.,13-2091-04-09-1,2013,SETUP,Graduated,Laguna,San Pablo,Health & Wellness Products,1625120,0,0,0,0,1,only one
88,Mechanization of the Production Process of Coco Coir By-products for Pilipinas Eco-fiber,13-2085-04-03-1,2013,SETUP,Graduated,Laguna,San Pablo,Gifts / Decors / Handicrafts,1310400,0,0,0,0,1,only one
89,Production and Product Quality Improvement of Selected Products of Pavino&#039;s Bakery,13-2087-04-01-1,2013,SETUP,Graduated,Quezon,Lucban,Food Processing,1864220,0,0,145000,0,1,only one
90,Optimizing Production Capability of Designs Ligna Incorporated,13-2096-04-02-01,2013,SETUP,Graduated,Laguna,San Pedro,Furniture,1933000,0,0,0,0,1,only one
91,Equipment Upgrading of Cybersnacks Enterprise Inc. in Antipolo City,13-2098-04-01-1,2013,SETUP,Terminated,Rizal,Antipolo City,Food Processing,1203888,0,0,0,0,1,only one
92,Equipment Upgrading for Siony&#039;s Pili Tarts and Pastillas,13-4A-05-01-0004,2012,SETUP,Graduated,Quezon,Mauban,Food Processing,152600,0,0,100000,0,1,only one
93,Production Improvement of Queencakes Enterprises,13-4A-05-01-0005,2013,SETUP,Graduated,Quezon,Infanta,Food Processing,699927,0,0,0,0,1,only one
94,Capability and Capacity  Enhancement of JTEC Machine Shop through the Acquisition of  Metal Working Equipment,13-2109-04-06-1,2013,SETUP,Graduated,Cavite,Trece Martires,Metals & Engineering,1036500,0,0,0,0,1,only one
95,Biogas System Facility for  Proper  Animal Waste Disposal and Source of Renewable Energy for the Farm,13-2118-04-04-1,2013,SETUP,Terminated,Batangas,San Jose,Agriculture / Marine / Aquaculture / Forestry / Livestock,1946646,0,0,0,0,1,only one
96,Production Improvement of Ground Zero House of Pizza,13-2122-04-01-1,2013,SETUP,Terminated,Quezon,Lucena City,Food Processing,1790000,0,0,600000,0,1,only one
97,Productivity and Capability Improvement of Jacobina Biscuit Producers through Technology Enhancement,13-4A-01-01-0002,2013,SETUP,Graduated,Cavite,Mendez,Food Processing,921200,0,0,0,0,1,only one
98,Capability Upgrading of Marinas Technologies Inc.; Acquisition of Modern Equipment,12-1747-04-06-1,2012,SETUP,Graduated,Laguna,Pila,Metals & Engineering,987700,0,0,0,0,1,only one
99,Upgrading of Production Capacity of Roma&#039;s Peanut Butter,12-1779-04-01-1,2012,SETUP,Withdrawn,Batangas,Agoncillo,Food Processing,200000,0,0,0,0,1,only one
100,"Improvement of Production Capacity of SaTin Crafts  through Acquisition of Drill Press, Grinder, Circular Saw, Hand Drilland Air Compressor",12-1780-04-02-1,2012,SETUP,Graduated,Quezon,Candelaria,Gifts / Decors / Handicrafts,146700,0,0,818000,0,1,only one
101,"Enhancing the Industry Competitiveness of Riclet Engineering focusing on Production Efficiency, accuracy, Product Quality and Services Offered through the acquisition of CNC Lathe Machine",12-1830-04-06-1,2012,SETUP,Graduated,Cavite,Dasmariñas,Metals & Engineering,2000000,0,0,0,0,1,only one
102,Development of New Label and Improvement of Production Process and Equipment of Eddie Patis Food Products Corp,12-1850-04-01-1,2012,SETUP,Withdrawn,Quezon,Infanta,Food Processing,795480,0,0,0,0,1,only one
103,"Upgrading of Production Capability of Panaderia Pantoja, Inc. through Modernization of Equipment",12-1845-04-01-1,2012,SETUP,Graduated,Batangas,Tanauan City,Food Processing,714560,0,0,0,0,1,only one
104,"Improvement / Upgrading of Equipment for in-line Production of Dressing, Condiments, Sauces and Pickles",12-1932-04-01-1,2012,SETUP,Graduated,Laguna,San Pablo,Food Processing,1012200,0,0,0,0,1,only one
105,Improvement of the Production and Packaging Capability of Doña Juana Food Products through the assistance of the DOST SETUP,12-1889-2-04-01-1,2012,SETUP,Terminated,Cavite,Ternate,Food Processing,352876,0,0,243890,0,1,only one
106,Upgrading of the Woodworking Capability of Feliza Woodworks to conduct Heat Treatment Operation from Freshly cut Lumber through Equipment Acquisition,12-1934-04-02-1,2012,SETUP,Graduated,Cavite,Imus,Furniture,545969,0,0,0,0,1,only one
107,Upgrading of Food Production Facility of San Jose Worker&#039;s Multi-purpose Cooperative,Â 12-1963-04-01-1,2012,SETUP,Graduated,Batangas,San Jose,Food Processing,288968,0,0,0,0,1,only one
108,"Improving of Powder Coating Production Line Through Equipment Acquisition of Tahanang Walang Hagdan Inc. in Jalajala, Rizal",12-1955-04-06-1,2012,SETUP,Terminated,Rizal,Cainta,Metals & Engineering,1680000,0,0,0,0,1,only one
109,Production Efficiency of Fresh Miki through a Mechanized Packaging System (New A.M. Miki Factory),12-1903-04-01-6,2012,SETUP,Graduated,Quezon,Lucena City,Food Processing,548800,0,0,0,0,1,only one
110,"Upgrading of Fish Processing Facility of Sipsipin MPC in Jalajala, Rizal",12-1889-1-04-01-1,2012,SETUP,Terminated,Rizal,Jala-jala,Food Processing,263200,0,0,0,0,1,only one
111,Product Development of Three new Variants for Pinagdanlayan Rural Improvement Club Multi-Purpose Cooperative (Pinagdanlayan RIC-MPC),12-1889-4-04-01-1,2012,SETUP,Graduated,Quezon,Dolores,Food Processing,191310,0,0,0,0,1,only one
112,Upgrading the Production Process of Green Harvest Food Products through S&amp;T Intervention,12-1976-04-01-1,2012,SETUP,Graduated,Laguna,San Pablo,Food Processing,1550000,0,0,0,0,1,only one
113,Upgrading of Productivity and Product Quality of San Jose Cabinet Manufacturing through acquisition of a seven (7) station edge edge Banding Machine,12-1974-04-02-1,2012,SETUP,Graduated,Cavite,Carmona,Furniture,3000000,0,0,8620054,0,1,only one
114,Upgrading the Productivity  of Escaba Food Products through Enhancement of Filling Operation,12-1980-04-01-1,2012,SETUP,Graduated,Laguna,San Pablo,Food Processing,2000000,0,0,0,0,1,only one
115,Strengthening of the Production Capability and Productivity of LAMACO Machineries Corporation by Modernizing the Existing Production Equipment through the DOST SETUP,12-1983-04-06-1,2012,SETUP,Graduated,Cavite,Bacoor,Metals & Engineering,3000000,0,0,9390550,0,1,only one
116,Upgrading of Processing Plant for Marthaâ€™s Handicrafts through Acquisition of Equipment,12-1889-3-04-03-1,2012,SETUP,Withdrawn,Quezon,Agdangan,Gifts / Decors / Handicrafts,232900,0,0,0,0,1,only one
117,Upgrading of the Meat Processing Facility of Buklod-Unlad Multipurpose Cooperative,12-1889-5-04-01-1,2012,SETUP,Graduated,Batangas,Taysan,Food Processing,428200,0,0,0,0,1,only one
118,Enhancing Productivity of Ehje&#039;s Homemade Products on Peanut Butter Production,12-1982-04-01-1,2012,SETUP,Terminated,Laguna,Santa Rosa,Food Processing,2000000,0,0,0,0,1,only one
119,Enhancement of the Production and Quality Control in Raw Milk by Palcon Dairy Multi-Purpose Cooperative,12-1985-04-04-1,2012,SETUP,Graduated,Quezon,Sariaya,Food Processing,708100,0,0,1660000,0,1,only one
120,Provision of Biogas System Facility to Utilize Waste into Gas and Power Generation of N. Canarias Poultry and Piggery Farms,Â 12-1996-04-04-1,2012,SETUP,Terminated,Batangas,Rosario,Agriculture / Marine / Aquaculture / Forestry / Livestock,956739,0,0,0,0,1,only one
121,Packaging System Improvement of Dealo Koffee Klatch,12-1991-04-01-6,2012,SETUP,Terminated,Quezon,Lucban,Food Processing,1800000,0,0,0,0,1,only one
122,Upgrading of Meat Processing Facility of Jacob Meat Products,Â 12-1999-04-01-1,2012,SETUP,Terminated,Batangas,Mataasnakahoy,Food Processing,728000,0,0,0,0,1,only one
123,Upgrading of Waste Recycling Facility of Eco Tray Mfg. Corp through Acquisition of Production Equipment,Â 12-1998-04-03-1,2012,SETUP,Terminated,Batangas,San Jose,Food Processing,1468620,0,0,0,0,1,only one
124,Improvement of Furniture Production Capability of Jamerika Enterprise Inc. Through Equipment Acquisition,12-2001-04-02-1,2012,SETUP,Graduated,Rizal,Taytay,Furniture,235725,0,0,0,0,1,only one
125,Productivity Improvement through Integration of Additional Equipment to the Current Production Process of Gem See&#039;s Cakeshop,12-2002-04-01-1,2012,SETUP,Graduated,Laguna,San Pablo,Food Processing,1531000,0,0,0,0,1,only one
126,Increasing the Productivity and Quality of Finished Products of Alpha Techno Precision Tooling Incorporated through the Acquisition of Coordinate   Measuring Machine (Packaging System Improvement of Alpha Techno Precision Tooling Inc.),12-2000-04-06-1,2012,SETUP,Graduated,Cavite,Rosario,Metals & Engineering,2000000,0,0,2000000,0,1,only one
127,Upgrading the Production Capabilities of Cocodan Enterprises through S and T Intervention,12-2012-04-01-1,2012,SETUP,Terminated,Rizal,Angono,Food Processing,522000,0,0,0,0,1,only one
128,Improvement of the Production Capabilities of Zion Fiberline Reprocessing through Equipment Acquisition,12-1997-04-03-1,2012,SETUP,Graduated,Rizal,Cainta,Gifts / Decors / Handicrafts,1643078,0,0,0,0,1,only one
129,"Upgrading of Bignay Tea Production Facility of C.A. Caisip in Nasugbu, Batangas",12-1889-6-04-01-1,2012,SETUP,Terminated,Batangas,Nasugbu,Food Processing,259900,0,0,0,0,1,only one
130,Product Development and Equipment Upgrading for Mel and Vic Food Products,12-1889-7-04-01-1,2012,SETUP,Graduated,Quezon,Candelaria,Food Processing,150000,0,0,0,0,1,only one
131,Enhancing the Production Capability of Pasciolco Agri Venture through Acquisition of Processing Machines and Adoption of ITDI Developed Acetator for Natural Coconut Vinegar,11-1467-04-04-1,2011,SETUP,Graduated,Quezon,Tiaong,Food Processing,729400,0,0,0,0,1,only one
132,Improvement of Production Capability of PAT and KAT Foods by Investing on New Production and Storage Equipment Under the DOST&#039;s SETUP Program,11-1547-04-01-1,2011,SETUP,Withdrawn,Cavite,Rosario,Food Processing,266390,0,0,0,0,1,only one
133,Provision of Technology Assistance Package Necessary to Uplift the Marketing Potential and Production Capability of Delfa&#039;s Food Products,11-1579-04-01-1,2011,SETUP,Graduated,Cavite,Alfonso,Food Processing,358490,0,0,0,0,1,only one
134,Strengthening of ORYSPA-Rice Bran Products through Packaging and Labeling System Improvement,11-1646-04-09-1,2011,SETUP,Graduated,Laguna,Calamba,Health & Wellness Products,600235,0,0,0,0,1,only one
135,Acquisition of Chinese Multi-function Sterilizer as an Alternative Procedure in Sterilizing Powdered Spices and other Herbal Products,11-1673-04-09-1,2011,SETUP,Graduated,Cavite,Silang,Food Processing,1427670,0,0,0,0,1,only one
136,Upgrading the Production Capabilities of Kayumanggi Tropical Food Products through Acquisition of Labeling Machine,11-1678-04-01-6,2011,SETUP,Withdrawn,Laguna,Alaminos,Food Processing,1333125,0,0,0,0,1,only one
137,Enhancement of the Production and Packaging Capability of Amira&#039;s Buko Tart Haus through the Upgrading of Existing Production Equipment Under the DOST&#039;s SETUP,11-1677-04-01-1,2011,SETUP,Graduated,Cavite,Tagaytay,Food Processing,832980,0,0,0,0,1,only one
138,Upgrading the Quality of Pancit Bato and Productivity of Maflor Home of Healthy Foods,12-1974-04-01-1,2012,SETUP,Terminated,Rizal,Antipolo City,Food Processing,582210,0,0,0,0,1,only one
139,Acquisition of Blast Freezers to Upgrade the Product Storage Capability of CARM Food Enterprises,10-1256-01-01-1,2010,SETUP,Graduated,Cavite,Rosario,Food Processing,635085,0,0,0,0,1,only one
140,Upgrading of Production Capacity of MLGS Herbal Food Products,10-1265-04-04-6,2010,SETUP,Graduated,Rizal,Angono,Food Processing,580200,0,0,0,0,1,only one
141,Upgrading of Packaging System for Soy Sauce and Vinegar Products,10-1353-04-01-6,2010,SETUP,Graduated,Quezon,Pagbilao,Food Processing,999000,0,0,20000,0,1,only one
142,Process Technological and Productivity Development,10-1361-04-01-1,2010,SETUP,Graduated,Cavite,Silang,Food Processing,999000,0,0,0,0,1,only one
143,Modernization of Edna and Rebecca&#039;s Banana Chips and Coated Peanuts Processing,10-1424-04-01-1,2010,SETUP,Terminated,Batangas,Batangas City,Food Processing,500000,0,0,0,0,1,only one
144,Packaging Development and Production Process Mechanization for Uraro and Pilipit,09-1072-04-12,2009,SETUP,Graduated,Laguna,Liliw,Food Processing,981000,0,0,0,0,1,only one
145,Upgrading of VN Industrial Tooling Services by Improving Their Quality Products/Services,09-1088-15-06,2009,SETUP,Graduated,Laguna,Calamba,Metals & Engineering,416000,0,0,0,0,1,only one
146,Expansion of United Powder Coating Services through the Establishment of a New Coating Facility,09-1128-04-06,2009,SETUP,Graduated,Cavite,Naic,Metals & Engineering,950000,0,0,0,0,1,only one
147,Strengthening of JVN Food Products Enterprise through Packaging and Labeling System Improvement,09-1130-04-01,2009,SETUP,Terminated,Cavite,Kawit,Food Processing,128703,0,0,0,0,1,only one
148,Bangus Processing Enhancement Project,09-1141-04-05-01,2009,SETUP,Graduated,Batangas,Talisay,Food Processing,314000,0,0,0,0,1,only one
149,Establishment of the Powder Coating Facility for the Production of Woven Decorative Items,08-817-04-06,2008,SETUP,Graduated,Cavite,Trece Martires,Gifts / Decors / Handicrafts,955000,0,0,0,0,1,only one
150,Productivity and Quality Improvement of Angono Ethnic Food Products,08-836-04-05,2008,SETUP,Graduated,Rizal,Angono,Food Processing,627000,0,0,0,0,1,only one
151,Expansion of Center Miki Factory through Acquisition of New Processing Equipment and Development of New Package/Design,08-844-04-01,2010,SETUP,Withdrawn,Quezon,Lucban,Food Processing,1420000,0,0,420000,0,1,only one
152,Adoption of FPRDI Kiln Dryer Technology to Upgrade Production Capability of Morada&#039;s Handicraft,08-878-04-03,2008,SETUP,Withdrawn,Batangas,Lipa City,Gifts / Decors / Handicrafts,450000,0,0,0,0,1,only one
153,Technology Enhancement of the Production Capabilities of L. Angeles Machineries Corporation (LAMACO) by Investing on Modern Production Equipment,08-937-04-06,2008,SETUP,Graduated,Cavite,Bacoor,Metals & Engineering,990000,0,0,0,0,1,only one
154,Productivity and Quality Enhancement of Lobo Tamarind Products,08-985-04-04,2008,SETUP,Terminated,Batangas,Lobo,Food Processing,500000,0,0,0,0,1,only one
155,Expansion of the Production Capabilities of Grandpa&#039;s Farm Foods in Instant Salabat Production,08-1025-04-01,2008,SETUP,Graduated,Rizal,Angono,Food Processing,472000,0,0,0,0,1,only one
